score,NumberOfInstances,NumberOfFeatures,NumberOfClasses,PercentageOfNumericAtts,PercentageOfNominalAtts,PercentageOfBinaryAtts,PercentageOfMissingValues,ClassEntropy,MeanMutualInformation,MeanAttributeEntropy,MeanSkewnessOfNumericAtts,MeanKurtosisOfNumericAtts,MeanStdDevOfNumericAtts,NumberOfInstancesWithMissingValues,Dimensionality,EquivalentNumberOfAtts,IncompleteInstanceCount,MajorityClassSize,MinorityClassSize,MaxNominalAttDistinctValues,MeanNominalAttDistinctValues,MeanMeansOfNumericAtts,NegativePercentage,PositivePercentage,NoiseToSignalRatio
0.608000000000000,250,51,2,0.9803921568627451,0.0,0.0,0.0,0.9866165198488093,-1.0,-1.0,0.06961304001482689,-1.109259790784458,1.000000029821892,0,0.204,-1.0,0.0,142,108,-1.0,-1.0,0.000000000960000,0.568,0.432,-1.0
0.420000000000000,50,6,2,0.8333333333333334,0.0,0.0,0.0,0.9814538950336535,-1.0,-1.0,0.4646509761994776,0.5375919766348944,177.0972170079437,0,0.12,-1.0,0.0,29,21,-1.0,-1.0,1193.9519999999998,0.58,0.42,-1.0
0.660000000000000,100,11,2,0.9090909090909091,0.0,0.0,0.0,0.9974015885677396,-1.0,-1.0,0.16051091512670806,-0.8200092262933476,1.0000000145340315,0,0.11,-1.0,0.0,53,47,-1.0,-1.0,-0.000000004000000,0.53,0.47,-1.0
0.652000000000000,250,51,2,0.9803921568627451,0.0,0.0,0.0,0.9933418121880535,-1.0,-1.0,0.010236064433803444,-1.1625709359223988,1.0000000304980015,0,0.204,-1.0,0.0,137,113,-1.0,-1.0,0.000000004640000,0.548,0.452,-1.0
0.590000000000000,100,51,2,0.9803921568627451,0.0,0.0,0.0,0.9895875212220557,-1.0,-1.0,0.02440518619093768,-1.176143266385588,1.0000000299377378,0,0.51,-1.0,0.0,56,44,-1.0,-1.0,0.000000000600000,0.56,0.44,-1.0
0.712000000000000,250,11,2,0.9090909090909091,0.0,0.0,0.0,1.0,-1.0,-1.0,-0.015403719801648636,-1.1600449129839832,1.0000000284482324,0,0.044,-1.0,0.0,125,125,-1.0,-1.0,0.000000005600000,0.5,0.5,-1.0
0.822949000000000,5473,11,2,0.9090909090909091,0.0,0.0,0.0,0.4763084842226657,-1.0,-1.0,14.706075957300332,652.1125952501005,840.2336192978366,0,0.0020098666179426275,-1.0,0.0,4913,560,-1.0,-1.0,253.32758631463548,0.8976795176320117,0.10232048236798831,-1.0
0.700000000000000,100,11,2,0.9090909090909091,0.0,0.0,0.0,0.9927744539878084,-1.0,-1.0,0.16544457093264225,-0.9641451771818208,1.0000000221508745,0,0.11,-1.0,0.0,55,45,-1.0,-1.0,0.000000018000000,0.55,0.45,-1.0
0.582500000000000,2000,65,2,0.9846153846153847,0.0,0.0,0.0,0.4689955935892812,-1.0,-1.0,-0.004281374704381228,-0.05001503462658649,2.152662833010542,0,0.0325,-1.0,0.0,1800,200,-1.0,-1.0,0.05308473857031248,0.9,0.1,-1.0
0.654000000000000,500,6,2,0.8333333333333334,0.0,0.0,0.0,0.9966619137320385,-1.0,-1.0,0.002074369181510621,-1.0876917564476085,1.000000024496334,0,0.012,-1.0,0.0,267,233,-1.0,-1.0,-0.000000004800000,0.534,0.466,-1.0
0.626000000000000,500,51,2,0.9803921568627451,0.0,0.0,0.0,0.9983373765218819,-1.0,-1.0,-0.007365396962511575,-1.1835143440754374,1.000000029396174,0,0.102,-1.0,0.0,262,238,-1.0,-1.0,-0.000000002360000,0.524,0.476,-1.0
0.986705000000000,2407,300,2,0.98,0.016666666666666666,0.016666666666666666,0.0,0.6780187068738636,0.046978981782873505,0.6751729963437599,1.68854140818818,8.162058039292281,0.18116487987168994,0,0.12463647694225176,14.432384039473579,0.0,1976,431,2.0,2.0,0.3082685141028576,0.8209389281262983,0.1790610718737017,13.37180991840693
0.257683000000000,846,19,2,0.9473684210526315,0.0,0.0,0.0,0.8232301496857752,-1.0,-1.0,1.0391153696663842,5.106058167159452,22.770839172096306,0,0.022458628841607566,-1.0,0.0,628,218,-1.0,-1.0,117.63494877856581,0.7423167848699763,0.2576832151300236,-1.0
0.957929000000000,937,50,2,0.96,0.02,0.02,0.0,0.2592588744223089,-1.0,-1.0,3.8069635552847974,51.33127600163301,80381.39979306066,0,0.05336179295624333,-1.0,0.0,896,41,2.0,2.0,16438.827012406615,0.9562433297758804,0.04375667022411953,-1.0
